planet,planet_name,trips,mean_survival_rate,std_survival_rate,var_survival_rate,avg_steps,efficiency,UCB_value
0,"""On a Cob"" Planet",300,0.34444444444444444,0.40353377327410833,0.1628395061728395,75.5,0.004562178072111847,0.5552070707327375
1,Cronenberg World,300,0.35444444444444445,0.4153520000561178,0.17251728395061727,225.5,0.0015718157181571816,0.5652070707327375
2,The Purge Planet,183,0.5355191256830601,0.4913780797019966,0.2414524172116217,364.95081967213116,0.0014673734016111162,0.8053730164472201
